"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,54.84856098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,74.27207317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,68.93019512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,ADO,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,45.20478049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,73.39729268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,73.74565854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,71.27653659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.72060976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,79.23414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,78.12682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,66.7582439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.25429268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,74.5892439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,65.31973171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,73.0194878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,68.91219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,77.72195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,70.53904878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,55.1882439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,77.88536585
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,60.29080488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,62.95460976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,74.66917073
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,50.48963415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,70.25739024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,76.03095122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.66341463
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,50.4827561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,48.20802439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,61.88726829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,51.93587805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,79.23658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,69.5912439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,43.69231707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,46.68717073
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,77.52460976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,76.75856098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,72.14073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,70.98721951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,57.87943902
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",ZAR,46.35573171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,52.30192683
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,77.7344878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,46.45390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,72.80780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,76.66895122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,77.97165854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,74.96829268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,76.59268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,57.01034146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,70.63273171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,73.35685366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,68.5912439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,69.55878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,47.76370732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,56.02653659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,70.41707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,52.24114634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faeroe Islands,FRO,78.43658537
